x	y	value
805500	1633000	28
805500	1633500	68
807000	1629500	8
807000	1630500	98
807000	1631500	33
808000	1629500	63
808000	1630000	58
808000	1633500	63
808500	1629500	38
808500	1630000	5
808500	1634500	38
809000	1631000	13
809000	1631500	28
809500	1631000	13
809500	1631500	13
809500	1632000	13
809500	1634000	133
810000	1633500	38
810000	1634000	230
810000	1635000	133
810500	1632000	33
810500	1633500	38
810500	1634000	8
811000	1633500	53
811500	1633500	13
811500	1634000	613
811500	1634500	132
811500	1639500	273
811500	1640000	88
812000	1634000	18
812000	1640000	13
812500	1638500	118
813000	1638000	155
813000	1639000	8
813500	1630000	73
813500	1630500	23
813500	1639000	179
846000	1624500	0
846000	1625500	18
846500	1624500	23
848000	1624500	5
848500	1626000	78
849000	1625000	8
849000	1626000	18
850500	1625000	38
851000	1625000	18
853000	1639500	8
853500	1638000	38
853500	1638500	48
853500	1639000	13
853500	1639500	83
853500	1641500	8
853500	1642000	13
853500	1642500	18
854000	1638000	0
854000	1638500	5
854000	1639000	43
854000	1639500	13
854000	1641500	43
854000	1642000	58
854000	1642500	43
854000	1643000	43
854500	1638000	5
854500	1639000	58
854500	1639500	8
854500	1641000	18
854500	1642000	5
854500	1642500	43
854500	1643000	83
855000	1634500	48
855000	1635000	8
855000	1637500	33
855000	1638000	23
855000	1638500	13
855000	1639000	28
855000	1640000	8
855000	1640500	58
855000	1641000	18
855000	1641500	5
855000	1642000	103
855000	1642500	48
855000	1643000	28
855500	1633500	18
855500	1634000	18
855500	1634500	5
855500	1635000	8
855500	1636000	13
855500	1637000	28
855500	1637500	8
855500	1638000	5
855500	1638500	23
855500	1639000	13
855500	1640000	33
855500	1640500	23
855500	1641000	93
855500	1641500	53
855500	1642000	53
855500	1642500	28
856000	1632500	5
856000	1633000	68
856000	1634000	113
856000	1634500	13
856000	1636000	58
856000	1636500	5
856000	1637000	53
856000	1637500	43
856000	1638000	8
856000	1638500	5
856000	1639000	13
856000	1640000	18
856000	1640500	23
856000	1641000	256
856000	1641500	23
856000	1642500	18
856500	1633500	5
856500	1634000	63
856500	1635000	28
856500	1635500	43
856500	1636000	103
856500	1636500	238
856500	1637000	133
856500	1637500	8
856500	1638000	8
856500	1639000	83
856500	1639500	13
856500	1642000	5
856500	1642500	48
856500	1643000	8
857000	1634000	0
857000	1634500	58
857000	1635000	33
857000	1635500	28
857000	1636000	5
857000	1637000	5
857000	1637500	18
857000	1642000	28
857000	1642500	38
857000	1643000	38
857500	1631500	8
857500	1632000	28
857500	1633500	13
857500	1635000	23
857500	1637500	18
857500	1638500	8
857500	1643000	48
858000	1632000	8
858000	1632500	8
858000	1633000	63
858000	1635000	296
858000	1635500	21
858000	1636000	13
858000	1636500	33
858000	1637000	5
858000	1637500	5
858000	1642000	13
858000	1642500	23
858000	1643000	113
858500	1631500	5
858500	1632000	8
858500	1632500	18
858500	1633500	28
858500	1634500	38
858500	1635000	5
858500	1635500	8
858500	1636000	68
858500	1636500	28
858500	1637000	48
858500	1642500	18
858500	1643000	58
858500	1643500	18
858500	1644000	23
858500	1644500	33
859000	1633500	108
859000	1634000	8
859000	1635500	23
859000	1636000	8
859000	1636500	5
859000	1637000	73
859000	1643000	13
859000	1643500	5
859000	1644000	18
859000	1644500	13
859500	1621500	0
859500	1622000	5
859500	1627500	13
859500	1632000	13
859500	1633000	83
859500	1634500	33
859500	1635500	13
859500	1636000	13
859500	1637000	8
859500	1637500	13
859500	1643500	53
859500	1644000	8
859500	1644500	5
860000	1622000	8
860000	1622500	8
860000	1623500	13
860000	1632000	28
860000	1632500	8
860000	1633000	8
860000	1634500	38
860000	1635000	18
860000	1635500	13
860000	1636000	123
860000	1643000	98
860000	1643500	213
860500	1632000	33
860500	1632500	33
860500	1633500	8
860500	1634000	28
860500	1635000	38
860500	1642500	28
860500	1643000	8
860500	1644000	48
860500	1644500	153
860500	1645000	13
861000	1632500	8
861000	1633500	108
861000	1634000	0
861000	1635500	48
861000	1642500	18
861000	1644000	153
861000	1644500	33
861000	1645000	63
861000	1654000	18
861500	1633500	13
861500	1634000	119
861500	1634500	13
861500	1635000	5
861500	1635500	78
861500	1642000	53
861500	1642500	13
861500	1653500	8
861500	1654000	13
862000	1625500	5
862000	1634500	18
862000	1635000	13
862000	1641500	13
862000	1642000	5
862000	1644000	38
862000	1644500	8
862000	1645000	8
862000	1653500	5
862500	1624000	5
862500	1626500	8
862500	1633500	18
862500	1634000	5
862500	1634500	5
862500	1635000	8
862500	1641500	13
862500	1644500	5
862500	1645000	5
862500	1653500	5
862500	1654000	28
862500	1654500	8
863000	1624000	5
863000	1624500	5
863000	1625000	38
863000	1625500	5
863000	1628000	8
863000	1633500	23
863000	1654000	13
863000	1654500	48
863000	1655500	5
863500	1626500	5
863500	1627000	8
863500	1628000	8
863500	1635000	5
863500	1653500	28
863500	1654000	5
863500	1654500	5
863500	1655500	28
864000	1622000	13
864000	1622500	5
864000	1624000	5
864000	1625500	78
864000	1626500	23
864000	1627000	73
864000	1639000	0
864000	1639500	73
864000	1653500	33
864000	1654000	13
864000	1655000	28
864500	1621000	68
864500	1621500	63
864500	1623500	28
864500	1624000	8
864500	1625500	233
864500	1627000	5
864500	1637500	23
864500	1638000	13
864500	1640500	5
864500	1641000	13
864500	1654000	8
864500	1655000	38
865000	1601500	8
865000	1621500	5
865000	1622500	83
865000	1623000	13
865000	1624500	58
865000	1626000	5
865000	1626500	88
865000	1627000	23
865000	1653000	78
865000	1656000	5
865000	1656500	23
865000	1677000	5
865500	1616500	18
865500	1617000	8
865500	1623500	63
865500	1624000	118
865500	1624500	83
865500	1626000	43
865500	1653000	13
865500	1653500	0
865500	1654000	5
865500	1654500	5
865500	1655000	38
865500	1655500	5
865500	1656500	103
865500	1677500	153
866000	1601000	38
866000	1601500	13
866000	1609000	28
866000	1609500	38
866000	1620500	0
866000	1621000	48
866000	1631500	8
866000	1652500	8
866000	1653500	28
866000	1655000	48
866000	1655500	8
866000	1656500	13
866000	1657000	119
866000	1658500	5
866500	1601500	5
866500	1610000	98
866500	1610500	111
