x	y	value
780000	1564000	8
781000	1564000	25
788000	1634000	23
789000	1637000	5
796000	1607000	0
797000	1601000	8
798000	1601000	8
748000	1997000	0
748000	1998000	8
748000	1999000	0
749000	1998000	8
749000	1999000	68
750000	1995000	8
750000	1998000	0
750000	1999000	43
751000	1995000	0
751000	1999000	5
752000	1983000	5
752000	1984000	5
752000	1985000	5
752000	1996000	8
752000	1999000	8
753000	1984000	0
753000	1985000	8
754000	1982000	8
754000	1984000	13
754000	1985000	8
754000	1986000	13
755000	1984000	8
755000	1998000	13
756000	1977000	5
756000	1998000	5
757000	1978000	5
759000	1978000	5
746000	2000000	5
753000	2000000	5
753000	2001000	5
754000	2000000	33
755000	2000000	69
755000	2001000	8
875000	1478000	5
875000	1480000	8
875000	1482000	5
876000	1476000	8
876000	1477000	5
876000	1479000	8
876000	1480000	8
876000	1481000	5
876000	1482000	13
876000	1483000	5
877000	1477000	13
877000	1478000	5
877000	1479000	28
877000	1480000	48
877000	1482000	5
877000	1483000	13
877000	1484000	18
877000	1485000	33
878000	1475000	8
878000	1476000	18
878000	1477000	5
878000	1479000	18
878000	1483000	8
878000	1484000	0
878000	1485000	0
878000	1486000	13
879000	1474000	13
879000	1475000	0
879000	1476000	13
879000	1479000	5
879000	1483000	0
879000	1484000	8
879000	1485000	0
879000	1486000	18
880000	1473000	5
880000	1474000	5
880000	1475000	8
880000	1478000	5
880000	1479000	0
880000	1484000	0
880000	1487000	23
880000	1488000	13
881000	1472000	13
881000	1473000	23
881000	1476000	8
881000	1477000	8
881000	1478000	5
881000	1479000	0
881000	1481000	5
881000	1482000	5
881000	1483000	23
881000	1484000	5
881000	1485000	0
881000	1488000	8
881000	1489000	53
881000	1491000	5
882000	1471000	13
882000	1472000	18
882000	1474000	5
882000	1476000	0
882000	1478000	5
882000	1480000	5
882000	1481000	0
882000	1483000	5
882000	1488000	5
882000	1489000	18
883000	1470000	189
883000	1471000	80
883000	1472000	0
883000	1476000	5
883000	1477000	5
883000	1478000	5
883000	1479000	0
883000	1480000	5
883000	1481000	13
883000	1482000	8
883000	1489000	8
883000	1490000	58
883000	1491000	8
884000	1458000	5
884000	1459000	5
884000	1469000	18
884000	1470000	216
884000	1471000	124
884000	1475000	38
884000	1476000	0
884000	1478000	5
884000	1480000	8
884000	1482000	18
884000	1483000	18
884000	1484000	8
884000	1485000	8
884000	1486000	8
884000	1489000	5
884000	1490000	33
884000	1491000	143
884000	1492000	42
885000	1459000	0
885000	1464000	5
885000	1465000	0
885000	1471000	23
885000	1473000	8
885000	1474000	13
885000	1476000	0
885000	1481000	8
885000	1483000	0
885000	1485000	5
885000	1486000	8
885000	1488000	8
885000	1489000	5
885000	1490000	13
885000	1491000	128
885000	1492000	259
885000	1493000	76
885000	1494000	8
886000	1473000	63
886000	1474000	0
886000	1475000	0
886000	1476000	18
886000	1477000	0
886000	1485000	5
886000	1486000	5
886000	1487000	8
886000	1488000	13
886000	1489000	5
886000	1490000	5
886000	1491000	28
886000	1492000	8
886000	1493000	18
886000	1494000	18
886000	1495000	13
887000	1469000	8
887000	1471000	84
887000	1472000	5
887000	1485000	8
887000	1486000	8
887000	1488000	5
887000	1489000	0
887000	1490000	0
887000	1491000	8
887000	1492000	5
887000	1493000	8
887000	1494000	33
887000	1495000	56
888000	1471000	53
888000	1472000	8
888000	1474000	48
888000	1475000	5
888000	1477000	18
888000	1478000	8
888000	1485000	13
888000	1486000	8
888000	1492000	8
888000	1494000	34
888000	1495000	43
889000	1471000	5
889000	1474000	13
889000	1484000	8
889000	1485000	8
889000	1486000	8
889000	1491000	5
889000	1492000	43
889000	1493000	8
889000	1494000	0
889000	1495000	48
889000	1496000	13
889000	1497000	13
890000	1473000	28
890000	1474000	49
890000	1477000	5
890000	1478000	13
890000	1484000	11
890000	1486000	0
890000	1492000	5
890000	1494000	8
890000	1495000	0
890000	1496000	0
890000	1497000	113
891000	1472000	23
891000	1473000	94
891000	1474000	8
891000	1477000	5
891000	1479000	8
891000	1480000	13
891000	1485000	0
891000	1486000	0
891000	1490000	8
891000	1492000	8
891000	1494000	71
891000	1495000	5
891000	1497000	33
891000	1498000	0
892000	1473000	0
892000	1474000	13
892000	1475000	5
892000	1477000	0
892000	1480000	0
892000	1490000	5
892000	1495000	13
892000	1496000	13
892000	1497000	18
892000	1498000	0
893000	1473000	5
893000	1474000	43
893000	1476000	0
893000	1477000	0
893000	1480000	5
893000	1484000	0
893000	1495000	8
893000	1496000	18
893000	1497000	34
893000	1498000	0
894000	1471000	5
894000	1472000	59
894000	1475000	43
894000	1476000	28
894000	1477000	0
894000	1496000	8
894000	1497000	13
894000	1498000	53
894000	1499000	0
895000	1471000	5
895000	1472000	8
895000	1475000	13
895000	1476000	5
895000	1479000	5
895000	1480000	8
895000	1482000	0
895000	1494000	25
895000	1496000	5
895000	1497000	5
895000	1498000	94
895000	1499000	33
896000	1472000	20
896000	1473000	120
896000	1475000	8
896000	1484000	0
896000	1491000	9
896000	1492000	5
896000	1495000	13
896000	1496000	18
896000	1497000	23
896000	1498000	33
896000	1499000	8
897000	1473000	5
897000	1474000	8
897000	1475000	0
897000	1493000	8
897000	1494000	5
897000	1495000	5
897000	1496000	13
897000	1497000	33
897000	1498000	38
897000	1499000	53
898000	1474000	18
898000	1475000	23
898000	1476000	5
898000	1492000	5
898000	1493000	5
898000	1494000	11
898000	1495000	5
898000	1496000	22
898000	1497000	23
898000	1498000	48
898000	1499000	275
899000	1473000	76
899000	1474000	94
899000	1491000	0
899000	1496000	13
899000	1497000	26
899000	1498000	13
899000	1499000	28
812000	1581000	0
813000	1581000	0
847000	1582000	5
848000	1581000	5
853000	1585000	5
854000	1585000	5
856000	1583000	8
859000	1591000	5
859000	1592000	5
860000	1587000	0
861000	1586000	5
861000	1587000	0
861000	1594000	0
862000	1593000	8
863000	1593000	8
863000	1594000	0
864000	1590000	5
864000	1596000	0
865000	1583000	8
865000	1589000	0
865000	1590000	8
865000	1591000	5
865000	1592000	5
865000	1594000	5
866000	1583000	8
866000	1589000	0
866000	1590000	24
866000	1591000	13
866000	1593000	5
867000	1588000	0
867000	1589000	0
868000	1590000	0
869000	1588000	5
871000	1586000	8
873000	1599000	5
874000	1597000	5
875000	1598000	5
875000	1599000	8
876000	1599000	0
877000	1597000	5
877000	1599000	8
878000	1584000	0
879000	1597000	5
879000	1598000	0
879000	1599000	5
880000	1597000	8
880000	1598000	5
880000	1599000	0
881000	1598000	5
881000	1599000	8
883000	1598000	8
883000	1599000	8
884000	1598000	5
884000	1599000	5
885000	1599000	0
886000	1599000	8
888000	1552000	92
888000	1553000	8
888000	1599000	5
889000	1552000	5
889000	1599000	13
890000	1550000	8
890000	1551000	0
890000	1598000	5
890000	1599000	18
891000	1550000	8
891000	1551000	5
892000	1551000	8
892000	1552000	5
896000	1500000	5
897000	1500000	0
898000	1500000	29
899000	1500000	72
805000	1633000	8
807000	1629000	0
807000	1630000	5
807000	1631000	5
808000	1629000	5
808000	1630000	5
808000	1633000	0
809000	1631000	0
809000	1634000	8
810000	1632000	5
810000	1633000	8
810000	1634000	13
810000	1635000	8
811000	1633000	5
811000	1634000	23
811000	1639000	13
811000	1640000	8
812000	1634000	5
812000	1638000	8
813000	1630000	8
813000	1638000	5
813000	1639000	8
848000	1626000	5
850000	1625000	5
853000	1638000	5
854000	1639000	5
854000	1641000	5
854000	1643000	5
855000	1635000	0
855000	1637000	5
855000	1640000	8
855000	1641000	5
855000	1642000	0
855000	1643000	5
856000	1634000	0
856000	1636000	28
856000	1637000	8
856000	1639000	5
856000	1640000	0
856000	1641000	28
857000	1632000	5
857000	1635000	5
857000	1637000	0
857000	1643000	5
858000	1632000	5
858000	1633000	5
858000	1634000	5
858000	1635000	18
858000	1636000	8
858000	1637000	5
858000	1642000	0
858000	1643000	5
859000	1633000	5
859000	1634000	5
859000	1635000	5
859000	1636000	5
859000	1637000	5
859000	1643000	5
859000	1644000	5
860000	1632000	5
860000	1634000	0
860000	1635000	0
860000	1636000	8
860000	1642000	5
860000	1643000	5
860000	1644000	8
861000	1632000	5
861000	1633000	5
861000	1634000	5
861000	1635000	5
861000	1642000	5
861000	1644000	8
861000	1645000	0
862000	1634000	5
862000	1644000	5
862000	1654000	5
863000	1654000	0
863000	1655000	0
864000	1621000	8
864000	1625000	0
864000	1627000	5
864000	1653000	0
864000	1654000	5
864000	1655000	5
865000	1621000	0
